StudyID,Age
1,5
2,8
4,7
5,4
6,5
7,5
8,7
9,8
10,5
11,5
12,5
13,5
14,5
15,5
16,5
17,8
18,7
20,5
21,8
22,4
23,7
24,8
25,7
26,5
27,5
28,7
29,7
30,4
31,7
32,4
33,5
34,5
35,8
36,7
37,5
38,5
39,5
40,5
41,5
42,8
43,8
44,8
45,8
46,8
47,8
48,7
49,7
50,7
51,8