animal1,animal2,language_similarity_simple_dist_color
bat,bat,0
crow,bat,0.24635201467035087
deer,bat,0.3183285681769474
elephant,bat,0.24514711295890437
flamingo,bat,0.4132770696936824
giraffe,bat,0.31727810041260796
goat,bat,0.3218564779386924
gorilla,bat,0.2843858112385115
hippo,bat,0.273475668482006
lion,bat,0.18374083331283897
llama,bat,0.18085034484568832
panda,bat,0.2830086751617882
pig,bat,0.16523977678039095
pigeon,bat,0.22978548143365207
shark,bat,0.25638667955678707
sheep,bat,0.34089013160412657
skunk,bat,0.33539463004955294
swan,bat,0.20349060025447133
zebra,bat,0.3488782202803047
bat,crow,0.24635201467035087
crow,crow,0
deer,crow,0.31748704791871074
elephant,crow,0.2835491913528868
flamingo,crow,0.34578069431375946
giraffe,crow,0.32774765670803485
goat,crow,0.356756410375806
gorilla,crow,0.31985659944077327
hippo,crow,0.2662214643185519
lion,crow,0.2221501041790883
llama,crow,0.22456370151261665
panda,crow,0.2703782891630155
pig,crow,0.20882987137500614
pigeon,crow,0.1870474531266437
shark,crow,0.3072655105328068
sheep,crow,0.32995901617490037
skunk,crow,0.30132379964757466
swan,crow,0.2687416161967292
zebra,crow,0.376088987677448
bat,deer,0.3183285681769474
crow,deer,0.31748704791871074
deer,deer,0
elephant,deer,0.32184298388528687
flamingo,deer,0.31937205682101594
giraffe,deer,0.3031800780908649
goat,deer,0.2640957606819789
gorilla,deer,0.293541245279658
hippo,deer,0.2667089870298188
lion,deer,0.3113539231814697
llama,deer,0.28801376531391804
panda,deer,0.31366618714886396
pig,deer,0.2936879223562897
pigeon,deer,0.39380213277821907
shark,deer,0.33458336347302997
sheep,deer,0.2821714763638573
skunk,deer,0.2674403023254445
swan,deer,0.3469906422131324
zebra,deer,0.3610192405144254
bat,elephant,0.24514711295890437
crow,elephant,0.2835491913528868
deer,elephant,0.32184298388528687
elephant,elephant,0
flamingo,elephant,0.38333039855842393
giraffe,elephant,0.26243312319583906
goat,elephant,0.32614774699659743
gorilla,elephant,0.24014315605778971
hippo,elephant,0.2584451245866674
lion,elephant,0.2599440934386463
llama,elephant,0.1430110596325339
panda,elephant,0.32506862078182364
pig,elephant,0.2501993831403546
pigeon,elephant,0.298214216923858
shark,elephant,0.30206059959513437
sheep,elephant,0.37570259491691804
skunk,elephant,0.2616700130232648
swan,elephant,0.31420096434550243
zebra,elephant,0.21546759180139544
bat,flamingo,0.4132770696936824
crow,flamingo,0.34578069431375946
deer,flamingo,0.31937205682101594
elephant,flamingo,0.38333039855842393
flamingo,flamingo,0
giraffe,flamingo,0.36424888927584137
goat,flamingo,0.3530491426778764
gorilla,flamingo,0.3625748662122102
hippo,flamingo,0.3788899639637198
lion,flamingo,0.3448654991452617
llama,flamingo,0.37692710079554426
panda,flamingo,0.44575552224369897
pig,flamingo,0.31506651722122847
pigeon,flamingo,0.4461995477636119
shark,flamingo,0.34116309648407467
sheep,flamingo,0.33870335440967375
skunk,flamingo,0.24589588582067143
swan,flamingo,0.4086451188859832
zebra,flamingo,0.37493248882314406
bat,giraffe,0.31727810041260796
crow,giraffe,0.32774765670803485
deer,giraffe,0.3031800780908649
elephant,giraffe,0.26243312319583906
flamingo,giraffe,0.36424888927584137
giraffe,giraffe,0
goat,giraffe,0.3769610528157787
gorilla,giraffe,0.14624175231968822
hippo,giraffe,0.2678772717463021
lion,giraffe,0.3040017014970634
llama,giraffe,0.29090260720265326
panda,giraffe,0.2821990152826863
pig,giraffe,0.2922050874448875
pigeon,giraffe,0.33677672381237567
shark,giraffe,0.26536433796300746
sheep,giraffe,0.3624506226270868
skunk,giraffe,0.2591037533210942
swan,giraffe,0.2670968756795304
zebra,giraffe,0.2960036762645542
bat,goat,0.3218564779386924
crow,goat,0.356756410375806
deer,goat,0.2640957606819789
elephant,goat,0.32614774699659743
flamingo,goat,0.3530491426778764
giraffe,goat,0.3769610528157787
goat,goat,0
gorilla,goat,0.3699816115735024
hippo,goat,0.3361516893690148
lion,goat,0.2657832720281189
llama,goat,0.30165704023087675
panda,goat,0.37076353687393027
pig,goat,0.2853299702239105
pigeon,goat,0.385350538398299
shark,goat,0.30812968090064907
sheep,goat,0.34620978420201337
skunk,goat,0.3489301889083473
swan,goat,0.35724458373456147
zebra,goat,0.31705321166548694
bat,gorilla,0.2843858112385115
crow,gorilla,0.31985659944077327
deer,gorilla,0.293541245279658
elephant,gorilla,0.24014315605778971
flamingo,gorilla,0.3625748662122102
giraffe,gorilla,0.14624175231968822
goat,gorilla,0.3699816115735024
gorilla,gorilla,0
hippo,gorilla,0.23608524160072203
lion,gorilla,0.2865858254601979
llama,gorilla,0.2780573346823812
panda,gorilla,0.30807756247202495
pig,gorilla,0.2701464006059392
pigeon,gorilla,0.31871729995526876
shark,gorilla,0.28505171775500227
sheep,gorilla,0.3411947727412999
skunk,gorilla,0.2412027987341489
swan,gorilla,0.27635023247324836
zebra,gorilla,0.3195477867230408
bat,hippo,0.273475668482006
crow,hippo,0.2662214643185519
deer,hippo,0.2667089870298188
elephant,hippo,0.2584451245866674
flamingo,hippo,0.3788899639637198
giraffe,hippo,0.2678772717463021
goat,hippo,0.3361516893690148
gorilla,hippo,0.23608524160072203
hippo,hippo,0
lion,hippo,0.27205616101933416
llama,hippo,0.219917627183522
panda,hippo,0.27006381649645783
pig,hippo,0.2403810988701258
pigeon,hippo,0.29523149889648576
shark,hippo,0.30420951564449494
sheep,hippo,0.2724113527530116
skunk,hippo,0.2569588714414243
swan,hippo,0.2935261140160034
zebra,hippo,0.3520592924584195
bat,lion,0.18374083331283897
crow,lion,0.2221501041790883
deer,lion,0.3113539231814697
elephant,lion,0.2599440934386463
flamingo,lion,0.3448654991452617
giraffe,lion,0.3040017014970634
goat,lion,0.2657832720281189
gorilla,lion,0.2865858254601979
hippo,lion,0.27205616101933416
lion,lion,0
llama,lion,0.2236386775652823
panda,lion,0.33106648690670265
pig,lion,0.11742773500083499
pigeon,lion,0.21584139155994644
shark,lion,0.22499358875454767
sheep,lion,0.3398882582042738
skunk,lion,0.32568724200152543
swan,lion,0.23865252455521407
zebra,lion,0.3117695524607122
bat,llama,0.18085034484568832
crow,llama,0.22456370151261665
deer,llama,0.28801376531391804
elephant,llama,0.1430110596325339
flamingo,llama,0.37692710079554426
giraffe,llama,0.29090260720265326
goat,llama,0.30165704023087675
gorilla,llama,0.2780573346823812
hippo,llama,0.219917627183522
lion,llama,0.2236386775652823
llama,llama,0
panda,llama,0.28159038189050206
pig,llama,0.21110607070834259
pigeon,llama,0.2467230336041986
shark,llama,0.26186469216376174
sheep,llama,0.3095460090452767
skunk,llama,0.26202468741989754
swan,llama,0.27626763692656264
zebra,llama,0.2553827873433226
bat,panda,0.2830086751617882
crow,panda,0.2703782891630155
deer,panda,0.31366618714886396
elephant,panda,0.32506862078182364
flamingo,panda,0.44575552224369897
giraffe,panda,0.2821990152826863
goat,panda,0.37076353687393027
gorilla,panda,0.30807756247202495
hippo,panda,0.27006381649645783
lion,panda,0.33106648690670265
llama,panda,0.28159038189050206
panda,panda,0
pig,panda,0.28108933794717206
pigeon,panda,0.2572508084755178
shark,panda,0.35704662741354315
sheep,panda,0.34686410649033694
skunk,panda,0.320104518560128
swan,panda,0.25752940178561334
zebra,panda,0.3849079998707061
bat,pig,0.16523977678039095
crow,pig,0.20882987137500614
deer,pig,0.2936879223562897
elephant,pig,0.2501993831403546
flamingo,pig,0.31506651722122847
giraffe,pig,0.2922050874448875
goat,pig,0.2853299702239105
gorilla,pig,0.2701464006059392
hippo,pig,0.2403810988701258
lion,pig,0.11742773500083499
llama,pig,0.21110607070834259
panda,pig,0.28108933794717206
pig,pig,0
pigeon,pig,0.2131923491121331
shark,pig,0.269178014097107
sheep,pig,0.33766819808350684
skunk,pig,0.2853541102362505
swan,pig,0.20608225099374358
zebra,pig,0.33009343743387326
bat,pigeon,0.22978548143365207
crow,pigeon,0.1870474531266437
deer,pigeon,0.39380213277821907
elephant,pigeon,0.298214216923858
flamingo,pigeon,0.4461995477636119
giraffe,pigeon,0.33677672381237567
goat,pigeon,0.385350538398299
gorilla,pigeon,0.31871729995526876
hippo,pigeon,0.29523149889648576
lion,pigeon,0.21584139155994644
llama,pigeon,0.2467230336041986
panda,pigeon,0.2572508084755178
pig,pigeon,0.2131923491121331
pigeon,pigeon,0
shark,pigeon,0.3242548853749103
sheep,pigeon,0.38181066243533723
skunk,pigeon,0.3643541819823158
swan,pigeon,0.2524056684214558
zebra,pigeon,0.38864327872281823
bat,shark,0.25638667955678707
crow,shark,0.3072655105328068
deer,shark,0.33458336347302997
elephant,shark,0.30206059959513437
flamingo,shark,0.34116309648407467
giraffe,shark,0.26536433796300746
goat,shark,0.30812968090064907
gorilla,shark,0.28505171775500227
hippo,shark,0.30420951564449494
lion,shark,0.22499358875454767
llama,shark,0.26186469216376174
panda,shark,0.35704662741354315
pig,shark,0.269178014097107
pigeon,shark,0.3242548853749103
shark,shark,0
sheep,shark,0.2572781149524107
skunk,shark,0.29728761602919923
swan,shark,0.29222250786232107
zebra,shark,0.27143725795088974
bat,sheep,0.34089013160412657
crow,sheep,0.32995901617490037
deer,sheep,0.2821714763638573
elephant,sheep,0.37570259491691804
flamingo,sheep,0.33870335440967375
giraffe,sheep,0.3624506226270868
goat,sheep,0.34620978420201337
gorilla,sheep,0.3411947727412999
hippo,sheep,0.2724113527530116
lion,sheep,0.3398882582042738
llama,sheep,0.3095460090452767
panda,sheep,0.34686410649033694
pig,sheep,0.33766819808350684
pigeon,sheep,0.38181066243533723
shark,sheep,0.2572781149524107
sheep,sheep,0
skunk,sheep,0.2722804021609394
swan,sheep,0.3775257814453693
zebra,sheep,0.3648097131766522
bat,skunk,0.33539463004955294
crow,skunk,0.30132379964757466
deer,skunk,0.2674403023254445
elephant,skunk,0.2616700130232648
flamingo,skunk,0.24589588582067143
giraffe,skunk,0.2591037533210942
goat,skunk,0.3489301889083473
gorilla,skunk,0.2412027987341489
hippo,skunk,0.2569588714414243
lion,skunk,0.32568724200152543
llama,skunk,0.26202468741989754
panda,skunk,0.320104518560128
pig,skunk,0.2853541102362505
pigeon,skunk,0.3643541819823158
shark,skunk,0.29728761602919923
sheep,skunk,0.2722804021609394
skunk,skunk,0
swan,skunk,0.3430431560789243
zebra,skunk,0.2929224765477829
bat,swan,0.20349060025447133
crow,swan,0.2687416161967292
deer,swan,0.3469906422131324
elephant,swan,0.31420096434550243
flamingo,swan,0.4086451188859832
giraffe,swan,0.2670968756795304
goat,swan,0.35724458373456147
gorilla,swan,0.27635023247324836
hippo,swan,0.2935261140160034
lion,swan,0.23865252455521407
llama,swan,0.27626763692656264
panda,swan,0.25752940178561334
pig,swan,0.20608225099374358
pigeon,swan,0.2524056684214558
shark,swan,0.29222250786232107
sheep,swan,0.3775257814453693
skunk,swan,0.3430431560789243
swan,swan,0
zebra,swan,0.4041831821809231
bat,zebra,0.3488782202803047
crow,zebra,0.376088987677448
deer,zebra,0.3610192405144254
elephant,zebra,0.21546759180139544
flamingo,zebra,0.37493248882314406
giraffe,zebra,0.2960036762645542
goat,zebra,0.31705321166548694
gorilla,zebra,0.3195477867230408
hippo,zebra,0.3520592924584195
lion,zebra,0.3117695524607122
llama,zebra,0.2553827873433226
panda,zebra,0.3849079998707061
pig,zebra,0.33009343743387326
pigeon,zebra,0.38864327872281823
shark,zebra,0.27143725795088974
sheep,zebra,0.3648097131766522
skunk,zebra,0.2929224765477829
swan,zebra,0.4041831821809231
zebra,zebra,0
