animal1,animal2,language_similarity_simple_dist_texture
bat,bat,0
crow,bat,0.3778473227179823
deer,bat,0.3432012714619709
elephant,bat,0.3198633649078081
flamingo,bat,0.3725655864939903
giraffe,bat,0.347860941725533
goat,bat,0.41145109630224586
gorilla,bat,0.3162874477585254
hippo,bat,0.38026984333787595
lion,bat,0.41562084303432373
llama,bat,0.35963400375090215
panda,bat,0.33631547045478716
pig,bat,0.3254287044782129
pigeon,bat,0.37891832390080593
shark,bat,0.3365833875910801
sheep,bat,0.31784322995251857
skunk,bat,0.35865327524745205
swan,bat,0.3406043681286863
zebra,bat,0.34181686496317415
bat,crow,0.3778473227179823
crow,crow,0
deer,crow,0.35611170372530804
elephant,crow,0.41508562653559306
flamingo,crow,0.43213970620234116
giraffe,crow,0.3648083716073488
goat,crow,0.42008325072159003
gorilla,crow,0.33562218975744595
hippo,crow,0.3603266273400246
lion,crow,0.27250727396533403
llama,crow,0.30410273710199925
panda,crow,0.2776621499488779
pig,crow,0.3458501342464932
pigeon,crow,0.34755927482038407
shark,crow,0.3792359775901912
sheep,crow,0.3878871721609028
skunk,crow,0.40585839230260284
swan,crow,0.3178880252304221
zebra,crow,0.4220390410475935
bat,deer,0.3432012714619709
crow,deer,0.35611170372530804
deer,deer,0
elephant,deer,0.3132924359229661
flamingo,deer,0.36251844767493135
giraffe,deer,0.3112269472229683
goat,deer,0.3467089086706461
gorilla,deer,0.35205744544161927
hippo,deer,0.2892793571206125
lion,deer,0.38945461966087547
llama,deer,0.3376210902609325
panda,deer,0.28459172902734886
pig,deer,0.33661564772245994
pigeon,deer,0.420458917155366
shark,deer,0.30974372840617526
sheep,deer,0.3728859685389746
skunk,deer,0.2583264639392494
swan,deer,0.35345224013363347
zebra,deer,0.35765436043545784
bat,elephant,0.3198633649078081
crow,elephant,0.41508562653559306
deer,elephant,0.3132924359229661
elephant,elephant,0
flamingo,elephant,0.3606107149803296
giraffe,elephant,0.36366421227645285
goat,elephant,0.35743109488002234
gorilla,elephant,0.36821854925923786
hippo,elephant,0.367779999258504
lion,elephant,0.47294929337307284
llama,elephant,0.40662405903142923
panda,elephant,0.3758608737118416
pig,elephant,0.4291952809302243
pigeon,elephant,0.41506373309760053
shark,elephant,0.3490142242371103
sheep,elephant,0.42884122760432175
skunk,elephant,0.33548871567049354
swan,elephant,0.44812807061339505
zebra,elephant,0.2751699227710874
bat,flamingo,0.3725655864939903
crow,flamingo,0.43213970620234116
deer,flamingo,0.36251844767493135
elephant,flamingo,0.3606107149803296
flamingo,flamingo,0
giraffe,flamingo,0.4408230979801231
goat,flamingo,0.3993842634574705
gorilla,flamingo,0.4897220680815151
hippo,flamingo,0.46987964315905134
lion,flamingo,0.46817749831019
llama,flamingo,0.4104635948850983
panda,flamingo,0.3913081987284256
pig,flamingo,0.4107611992483872
pigeon,flamingo,0.4394232475797
shark,flamingo,0.4339029753336734
sheep,flamingo,0.4795747395093597
skunk,flamingo,0.4065640813398969
swan,flamingo,0.48057143215603015
zebra,flamingo,0.314760994112098
bat,giraffe,0.347860941725533
crow,giraffe,0.3648083716073488
deer,giraffe,0.3112269472229683
elephant,giraffe,0.36366421227645285
flamingo,giraffe,0.4408230979801231
giraffe,giraffe,0
goat,giraffe,0.43022571061938536
gorilla,giraffe,0.29534358454663784
hippo,giraffe,0.3066882946357023
lion,giraffe,0.3481537379295448
llama,giraffe,0.35040759288961654
panda,giraffe,0.3344392254647573
pig,giraffe,0.40385432674263944
pigeon,giraffe,0.33591108559504623
shark,giraffe,0.3103807565448478
sheep,giraffe,0.34173483419918027
skunk,giraffe,0.38859995562388383
swan,giraffe,0.3689823301760096
zebra,giraffe,0.3438186992298095
bat,goat,0.41145109630224586
crow,goat,0.42008325072159003
deer,goat,0.3467089086706461
elephant,goat,0.35743109488002234
flamingo,goat,0.3993842634574705
giraffe,goat,0.43022571061938536
goat,goat,0
gorilla,goat,0.4192143175756856
hippo,goat,0.4472691432499252
lion,goat,0.5110193544904946
llama,goat,0.4364453480650457
panda,goat,0.44655988145402986
pig,goat,0.4467376369795728
pigeon,goat,0.4303096731894897
shark,goat,0.3895170944550949
sheep,goat,0.4147884611564022
skunk,goat,0.3792008742031833
swan,goat,0.4252627159350759
zebra,goat,0.34897993007623485
bat,gorilla,0.3162874477585254
crow,gorilla,0.33562218975744595
deer,gorilla,0.35205744544161927
elephant,gorilla,0.36821854925923786
flamingo,gorilla,0.4897220680815151
giraffe,gorilla,0.29534358454663784
goat,gorilla,0.4192143175756856
gorilla,gorilla,0
hippo,gorilla,0.34361039969729357
lion,gorilla,0.3873001298543318
llama,gorilla,0.3310437295361093
panda,gorilla,0.3678358703253385
pig,gorilla,0.32627042996599676
pigeon,gorilla,0.3535532481860343
shark,gorilla,0.2704751684296117
sheep,gorilla,0.2384108472088161
skunk,gorilla,0.33477730414240814
swan,gorilla,0.2983829230507301
zebra,gorilla,0.4162103001508202
bat,hippo,0.38026984333787595
crow,hippo,0.3603266273400246
deer,hippo,0.2892793571206125
elephant,hippo,0.367779999258504
flamingo,hippo,0.46987964315905134
giraffe,hippo,0.3066882946357023
goat,hippo,0.4472691432499252
gorilla,hippo,0.34361039969729357
hippo,hippo,0
lion,hippo,0.3756967856005293
llama,hippo,0.31812854432912474
panda,hippo,0.2980418789597719
pig,hippo,0.3387865463150158
pigeon,hippo,0.4519019539942084
shark,hippo,0.39233057777984826
sheep,hippo,0.3790129793073343
skunk,hippo,0.4074644753301721
swan,hippo,0.3430248428638052
zebra,hippo,0.4094760026425347
bat,lion,0.41562084303432373
crow,lion,0.27250727396533403
deer,lion,0.38945461966087547
elephant,lion,0.47294929337307284
flamingo,lion,0.46817749831019
giraffe,lion,0.3481537379295448
goat,lion,0.5110193544904946
gorilla,lion,0.3873001298543318
hippo,lion,0.3756967856005293
lion,lion,0
llama,lion,0.271553043488686
panda,lion,0.31236043094910704
pig,lion,0.34571734039559093
pigeon,lion,0.4168352071332296
shark,lion,0.42832599742895994
sheep,lion,0.4169780618201321
skunk,lion,0.4659154351515546
swan,lion,0.29949105977248935
zebra,lion,0.43923546274372904
bat,llama,0.35963400375090215
crow,llama,0.30410273710199925
deer,llama,0.3376210902609325
elephant,llama,0.40662405903142923
flamingo,llama,0.4104635948850983
giraffe,llama,0.35040759288961654
goat,llama,0.4364453480650457
gorilla,llama,0.3310437295361093
hippo,llama,0.31812854432912474
lion,llama,0.271553043488686
llama,llama,0
panda,llama,0.2754632662615314
pig,llama,0.1980530393356736
pigeon,llama,0.3848254838510667
shark,llama,0.42220295228593335
sheep,llama,0.3406468679598414
skunk,llama,0.3734479362821303
swan,llama,0.25568677362700043
zebra,llama,0.3867557552487249
bat,panda,0.33631547045478716
crow,panda,0.2776621499488779
deer,panda,0.28459172902734886
elephant,panda,0.3758608737118416
flamingo,panda,0.3913081987284256
giraffe,panda,0.3344392254647573
goat,panda,0.44655988145402986
gorilla,panda,0.3678358703253385
hippo,panda,0.2980418789597719
lion,panda,0.31236043094910704
llama,panda,0.2754632662615314
panda,panda,0
pig,panda,0.28945348362901424
pigeon,panda,0.42029772858875586
shark,panda,0.37496074314768424
sheep,panda,0.38141952852314037
skunk,panda,0.32681028216726826
swan,panda,0.37772594731475867
zebra,panda,0.37766110353704324
bat,pig,0.3254287044782129
crow,pig,0.3458501342464932
deer,pig,0.33661564772245994
elephant,pig,0.4291952809302243
flamingo,pig,0.4107611992483872
giraffe,pig,0.40385432674263944
goat,pig,0.4467376369795728
gorilla,pig,0.32627042996599676
hippo,pig,0.3387865463150158
lion,pig,0.34571734039559093
llama,pig,0.1980530393356736
panda,pig,0.28945348362901424
pig,pig,0
pigeon,pig,0.4013914846065488
shark,pig,0.3874970707035838
sheep,pig,0.3290564769710244
skunk,pig,0.3421371163815214
swan,pig,0.2846391748052771
zebra,pig,0.42300556384992616
bat,pigeon,0.37891832390080593
crow,pigeon,0.34755927482038407
deer,pigeon,0.420458917155366
elephant,pigeon,0.41506373309760053
flamingo,pigeon,0.4394232475797
giraffe,pigeon,0.33591108559504623
goat,pigeon,0.4303096731894897
gorilla,pigeon,0.3535532481860343
hippo,pigeon,0.4519019539942084
lion,pigeon,0.4168352071332296
llama,pigeon,0.3848254838510667
panda,pigeon,0.42029772858875586
pig,pigeon,0.4013914846065488
pigeon,pigeon,0
shark,pigeon,0.3695099595788066
sheep,pigeon,0.34083489036462383
skunk,pigeon,0.4058892997690372
swan,pigeon,0.3906276503575416
zebra,pigeon,0.3717955799967254
bat,shark,0.3365833875910801
crow,shark,0.3792359775901912
deer,shark,0.30974372840617526
elephant,shark,0.3490142242371103
flamingo,shark,0.4339029753336734
giraffe,shark,0.3103807565448478
goat,shark,0.3895170944550949
gorilla,shark,0.2704751684296117
hippo,shark,0.39233057777984826
lion,shark,0.42832599742895994
llama,shark,0.42220295228593335
panda,shark,0.37496074314768424
pig,shark,0.3874970707035838
pigeon,shark,0.3695099595788066
shark,shark,0
sheep,shark,0.38713381286575677
skunk,shark,0.2894822000299249
swan,shark,0.398039520914915
zebra,shark,0.40078600497416234
bat,sheep,0.31784322995251857
crow,sheep,0.3878871721609028
deer,sheep,0.3728859685389746
elephant,sheep,0.42884122760432175
flamingo,sheep,0.4795747395093597
giraffe,sheep,0.34173483419918027
goat,sheep,0.4147884611564022
gorilla,sheep,0.2384108472088161
hippo,sheep,0.3790129793073343
lion,sheep,0.4169780618201321
llama,sheep,0.3406468679598414
panda,sheep,0.38141952852314037
pig,sheep,0.3290564769710244
pigeon,sheep,0.34083489036462383
shark,sheep,0.38713381286575677
sheep,sheep,0
skunk,sheep,0.36146936843172434
swan,sheep,0.2885080172807416
zebra,sheep,0.42059984136969053
bat,skunk,0.35865327524745205
crow,skunk,0.40585839230260284
deer,skunk,0.2583264639392494
elephant,skunk,0.33548871567049354
flamingo,skunk,0.4065640813398969
giraffe,skunk,0.38859995562388383
goat,skunk,0.3792008742031833
gorilla,skunk,0.33477730414240814
hippo,skunk,0.4074644753301721
lion,skunk,0.4659154351515546
llama,skunk,0.3734479362821303
panda,skunk,0.32681028216726826
pig,skunk,0.3421371163815214
pigeon,skunk,0.4058892997690372
shark,skunk,0.2894822000299249
sheep,skunk,0.36146936843172434
skunk,skunk,0
swan,skunk,0.4060814171773269
zebra,skunk,0.399081663583929
bat,swan,0.3406043681286863
crow,swan,0.3178880252304221
deer,swan,0.35345224013363347
elephant,swan,0.44812807061339505
flamingo,swan,0.48057143215603015
giraffe,swan,0.3689823301760096
goat,swan,0.4252627159350759
gorilla,swan,0.2983829230507301
hippo,swan,0.3430248428638052
lion,swan,0.29949105977248935
llama,swan,0.25568677362700043
panda,swan,0.37772594731475867
pig,swan,0.2846391748052771
pigeon,swan,0.3906276503575416
shark,swan,0.398039520914915
sheep,swan,0.2885080172807416
skunk,swan,0.4060814171773269
swan,swan,0
zebra,swan,0.4166474971923236
bat,zebra,0.34181686496317415
crow,zebra,0.4220390410475935
deer,zebra,0.35765436043545784
elephant,zebra,0.2751699227710874
flamingo,zebra,0.314760994112098
giraffe,zebra,0.3438186992298095
goat,zebra,0.34897993007623485
gorilla,zebra,0.4162103001508202
hippo,zebra,0.4094760026425347
lion,zebra,0.43923546274372904
llama,zebra,0.3867557552487249
panda,zebra,0.37766110353704324
pig,zebra,0.42300556384992616
pigeon,zebra,0.3717955799967254
shark,zebra,0.40078600497416234
sheep,zebra,0.42059984136969053
skunk,zebra,0.399081663583929
swan,zebra,0.4166474971923236
zebra,zebra,0
