animal,big,coat,course,curly,feathers,fine,flat,fluffy,fur,hair,hide,light,long,rough,rubber,short,silk,skin,small,smooth,soft,thick,thin,tough,wet
bat,0.15432602635658205,0.13034936937442404,0.1030630283085159,0.097812522084814,0.13511739527823088,0.05878084294707799,0.06261269628893262,0.11861466054991847,0.25691998705221397,0.0788814499296668,0.07273404817885146,0.09620240091619356,0.04952260093420145,0.037458753615187,0.08363729270001781,0.06542612075291837,0.053426892439161114,0.06326860001224754,0.18176348989139285,0.08468224501542522,0.10792510684706343,0.08314214962027,0.17770116077793094,0.03289650049467212,0.09315181443879542
crow,0.049385210908248794,0.05287560350306436,0.10529305776062474,0.057456923221079204,0.05230173982341115,0.08141882791752317,0.030722355797840138,0.10458995574321928,0.029213819782922812,0.12915351165363795,0.0898112890804299,0.08917264739251318,0.06379118679308053,0.08402642226089523,0.10265544770841571,0.12546824359006362,-0.08566277308314516,0.12281067118017587,0.08709961383696847,0.04131965418914219,0.07461232654780124,0.03585499071294499,0.05415699651474277,0.07839770686924609,0.08501019539824275
deer,0.15896062758240173,0.12386246649356036,0.029230466456050385,9.85663943775502e-4,0.16424899572854873,0.022684782665997605,0.06482705840845204,0.17677697039692408,0.05157098860024817,0.10415728526776295,0.10895158937432332,0.13456701968196377,0.037035107212777106,0.12691087289547603,0.05941060239712322,0.08350121664294245,0.13244944320159188,0.1785897742112837,0.12477360015694547,0.08031100885297217,0.057602243698195776,0.04711279360971258,0.14739883426974926,0.15564486629201524,0.08483022334341925
elephant,0.1383139544810538,0.11095055215342992,0.04011140445757888,0.03640344554457451,0.17764280699112334,0.026793397656443525,0.07080136274430679,0.27312978876544636,0.1928755106497082,0.09068606267963356,0.18681909332987953,0.09961015951925131,0.15994143007613373,0.02009541333373261,0.06853083140810602,0.09406849809986129,0.0758990942908278,0.07898294328304392,0.18695854027309766,0.10634269332554347,0.12027175088793901,0.02790812814112758,0.06211928514167526,0.16001913307444254,0.14205151406746758
flamingo,0.12190529976490719,0.09118345712031924,0.04911606524841322,0.18679928238694277,0.1908610783873641,0.014971554936928859,0.10830353925336289,0.2777217934862544,0.12062767006365831,0.13369669835313625,0.1102927595068532,0.07660639855993588,0.03796740258511546,0.03289283223388994,0.2205359694396321,0.0836921601121459,0.11614811838917552,0.18450704770128745,0.1458467850165246,0.13720839542448626,0.07547481594653,0.1493082255664454,0.04098244305153772,0.05923012681456286,0.03967855614697074
giraffe,0.13827706171738716,0.02046920391918433,-0.015765272566466086,0.03762197875814088,0.11292757253161549,0.13567429220052538,0.04457794078127449,0.16778255917715926,0.060784593277118895,0.037297034890193294,0.10600422664742151,0.19327690669754144,0.10812011728077019,0.07314466249248462,0.11271975642679363,0.09876853249598723,0.08556071028585366,0.002049365473584029,0.06439327058195594,0.10352552208162522,0.09744640483929284,0.0795808459284755,0.20650146682434056,0.09861715232509707,0.10762526237362363
goat,0.13698625852744908,0.254969451854365,0.1444252825607011,0.05242074352928519,0.23729749814990198,-0.014432950594067951,0.11719342423457456,0.26386122217375146,0.03999050236413294,0.07260214885019556,0.08274383731673307,0.04743798377623181,0.1312565819812513,0.10627035955655728,0.11860173082461348,0.08552876854559446,0.06640550177826697,0.025280713146167515,0.026400944222945606,0.04496158611861022,0.083762020995672,0.05178440513520126,0.06953556540411539,0.11333907985442956,0.08173152589201567
gorilla,0.19620224128088737,0.06548644554193091,0.08706224244160808,0.05466371995173444,0.06671163864053131,0.07676755469596871,0.16787752427982677,0.09834717860247078,0.15781165760288698,0.04012689640282275,0.0790131307806141,0.1807303106590018,0.13702599133170504,0.14345804309183943,0.09148598486547337,0.12026448672724657,-0.023045374522287613,0.04563661126185598,0.09284024150685194,0.07152373447014898,0.07119910779612468,0.008187753562125295,0.15127262742472328,0.1203624063536544,0.16690379984058032
hippo,0.09597516680271732,0.06200429853027775,0.13389834563402092,0.02714803964638176,0.08005912605039324,0.12153502373522636,0.04613705274648263,0.11060996047308086,0.046355014713120334,0.03115967130169618,0.21457220277845301,0.18304358116931876,0.09047919377435548,0.1555538339435978,0.06733301134212172,0.03066575542861342,0.1152198613590588,0.07612203531891566,0.1867319220580288,0.07120576085484745,0.07135383921582168,0.0790271334509128,0.12963071242237711,0.1875741276205524,0.08186764304587003
lion,0.03476131396520325,-0.024455718502619506,0.035439411693314084,0.0575790905986992,0.08386567868762902,0.12783954785352622,0.024967372259053724,0.001969520620770974,0.0382928859183742,0.04701241973524883,0.020610872563217485,0.12769177575549728,0.09269708137466866,0.062465816380814956,0.13696995197909548,0.058823973695016574,0.07207100735572955,0.13418036316727458,0.08233139480107407,0.07590559485684946,0.08846419659135134,-0.0038462911286853848,0.02312604947681341,0.057115978037085936,0.07884279747392803
llama,0.137858875959402,0.031914274025157126,0.12768326910082536,0.09457200786509398,0.036448892033798794,0.12152954479933821,0.07944340864075279,0.06225073760550807,0.11507419867873069,0.08824167605406891,0.13249648640798775,0.08979897584264371,0.05203968214653151,0.0939603141827762,0.10521948325170967,0.07503974156632524,0.1455437011259084,0.12517865519450605,0.011072329499015508,0.06862809832298214,0.0841470017341642,0.03855569904700925,0.020671598924979422,0.10085948143907518,0.1156628865015044
panda,0.1167788938778519,0.0315327421990512,0.11166453498353099,0.034812877465508874,0.06708733739410734,0.05538609637612895,-0.011376236585769285,0.08495631950715431,0.07052578389141065,0.052135890034646686,0.13893330708218748,0.04063542898860557,0.020126719891968962,0.05319975967573448,0.16191060729136364,0.15552104474698478,0.0861927180449581,0.15168653833775386,0.1432495614319218,0.09625848412199833,0.07038127825072436,0.05052863871016081,0.13710685362398564,0.15003693851132158,0.09027072347289804
pig,0.22382663856457655,0.07620823143266353,0.17901130420904154,0.05165072017290324,0.033409473919884886,0.1120761993088371,0.12362471049555332,0.04995430751015044,0.13604546316392865,0.10023475611795339,0.1036167226666278,0.09482883134905085,0.04758098183109894,0.11700890399482304,0.13647169266143927,0.10503125916262679,0.14052546559717013,0.15240797704551778,0.11805811232791107,0.057915209982945616,0.06726414200877022,0.04362148383102401,0.04993813181577026,0.05586477543274997,0.053981190391991736
pigeon,0.16581097090143698,0.05002260936407945,0.07012036565887576,0.0506504360766743,0.11063887958026616,0.14762167754192293,0.18346158836201912,0.16253861036658226,0.027392978697363006,0.1328571430661844,0.10366823705624488,0.0652133424885565,0.11255498636584764,-0.006356078158776877,0.04353893456980756,0.12040405896960375,-0.015328105099896964,0.018533514011452906,0.07095376109889835,0.169084765528604,0.055079030995372404,0.09694151470496556,0.11221422576732523,-0.040572562206829275,0.13584478526592292
shark,0.2780736530418389,0.08194192947772848,0.056616708254502456,0.013221865867226689,0.22384699032762095,0.10776160624055786,0.08748318575710035,0.1553448384100226,0.1048401872159854,0.07985460592932399,0.020855141093022545,0.15865585259988477,0.10825229866343959,0.1023582400586564,0.11853176013766063,0.12416641118070307,-0.03971817866986891,0.07217019783085213,0.1467875370256682,0.13236208428737103,0.07720939012800196,0.04965176352513545,0.1365277903615278,0.15945052008059,0.09232103892639151
sheep,0.16068543425354118,0.15527678090340466,0.07596607992952964,0.10341997892167298,0.08795927857744112,0.08435495596206445,0.2287951595185256,0.027120967849720082,0.1099891173949068,0.03218864963983684,0.1386659994877687,0.11984352994907875,0.10469833090355217,0.06782765845413236,0.10302650103414292,0.11396225254022699,0.05775125086396231,0.05489817240040347,0.08106891992163599,0.03097346117649334,0.03546743544391129,0.043701569895585365,0.20822937272755868,0.050285210322897074,0.15799951198392853
skunk,0.29231418472013676,0.10593544420168714,0.0911747508942142,0.04941805755450533,0.1591286230761519,0.006283606355555912,0.0857527692830015,0.16568031273640202,0.09825839768046786,0.13866802345024581,0.09156973988061885,0.08979357397022845,0.07677775120197694,0.03709407729411445,0.09427929768463769,0.14082843073979712,0.0933561753932984,0.1335909769631227,0.12490605071725545,0.08046191820405645,-0.04716453061496231,-0.0049195686266030325,0.1393376951262643,0.16854524083242564,0.15036385793962445
swan,0.09821418144278042,0.13546974176505858,0.11755007821510387,0.07408429312060398,0.07758832772970617,0.10956102316100591,0.1088384512395905,-0.013763532253351314,0.12920354867018244,0.09863416570079142,0.06323015022915043,0.1588221267642024,0.15319647372023004,0.11052752296836466,0.04694470961374913,0.02727770670292214,0.06464556829275438,0.1263952581071731,0.018757643201498524,0.06490018505429665,0.033966565223721025,0.0573200570334692,0.09425906075136205,0.07709128969199137,0.06509843580107551
zebra,0.10533864285425175,0.06256733125596806,0.10505028506843801,0.07331999203521408,0.194724387876633,0.03516454918181903,0.07285371293607402,0.2573653824424002,0.1296564914605273,0.03413319510376654,0.11608210317980694,0.08223573319637682,0.21197160518201247,-0.021071024292859564,0.098342228397863607,0.10536573063453114,0.13092229132263494,0.1268396875482239,0.07944385817325554,0.10450464991144247,0.12270909602880105,0.1648583147181033,0.10812515592656322,0.06250099497085476,0.11190434263967322
